year,month,day,offset,meat,bread,onion,eggs,milk
2019,12,2,101,1,1,1,1,1
2019,12,3,102,0,0,0,0,0
2019,12,4,103,0,1,0,0,0
2019,12,5,104,0,0,0,0,0
2019,12,6,105,1,1,1,1,1
2019,12,7,106,0,0,0,0,0
2019,12,8,107,0,0,0,0,0
2019,12,9,108,1,1,0,0,0
2019,12,10,109,0,0,0,0,0
2019,12,11,110,0,0,0,0,0
2019,12,12,111,0,1,0,1,1
2019,12,13,112,0,0,0,0,0
2019,12,14,113,0,1,0,1,0
2019,12,15,114,0,0,0,0,0
2019,12,16,115,0,0,0,0,0
2019,12,17,116,0,0,0,0,0
2019,12,18,117,0,0,0,0,0
2019,12,19,118,0,0,0,0,0
2019,12,20,119,0,0,0,0,0
2019,12,21,120,0,0,0,0,0
2019,12,22,121,0,0,0,1,1
2019,12,23,122,1,1,1,0,0
2019,12,24,123,0,0,0,0,0
2019,12,25,124,0,0,0,0,0
2019,12,26,125,0,0,0,0,0
2019,12,27,126,0,0,0,0,0
2019,12,28,127,0,1,1,1,1
2019,12,29,128,0,0,0,0,0
2019,12,30,129,0,0,0,0,0
2019,12,31,130,0,0,0,0,0
2020,1,1,131,0,1,1,1,1
2020,1,2,132,0,0,0,0,0
2020,1,3,133,0,0,0,0,0
2020,1,4,134,0,0,0,0,0
2020,1,5,135,0,0,1,0,0
2020,1,6,136,0,0,0,1,1
2020,1,7,137,0,0,0,0,0
2020,1,8,138,0,0,0,0,0
2020,1,9,139,0,1,1,1,1
2020,1,10,140,0,0,0,0,0
2020,1,11,141,0,0,0,0,0
2020,1,12,142,0,0,0,0,0
2020,1,13,143,0,1,0,1,0
2020,1,14,144,1,1,0,1,1
2020,1,15,145,0,0,1,0,0
2020,1,16,146,0,0,0,0,0
2020,1,17,147,0,0,0,0,0
2020,1,18,148,0,0,0,0,1
2020,1,19,149,0,0,0,0,0
2020,1,20,150,0,0,1,1,0
2020,1,21,151,0,0,0,0,0
2020,1,22,152,0,0,0,0,0
2020,1,23,153,0,0,0,0,0
2020,1,24,154,0,0,0,0,0
2020,1,25,155,0,0,0,0,0
2020,1,26,156,0,0,0,0,0
2020,1,27,157,0,1,1,1,1
2020,1,28,158,0,0,0,0,0
2020,1,29,159,0,0,0,0,0
2020,1,30,160,0,0,0,0,0
2020,1,31,161,0,0,0,0,0
2020,2,1,162,0,1,0,0,0
2020,2,2,163,0,0,1,0,0
2020,2,3,164,0,0,0,1,1
2020,2,4,165,0,0,0,0,0
2020,2,5,166,0,0,0,0,0
2020,2,6,167,0,0,1,0,0
2020,2,7,168,0,0,0,0,0
2020,2,8,169,0,0,0,0,0
2020,2,9,170,0,0,0,0,0
2020,2,10,171,0,0,0,0,0
2020,2,11,172,1,1,1,0,1
2020,2,12,173,0,0,0,0,0
2020,2,13,174,0,0,0,0,0
2020,2,14,175,0,0,0,0,0
2020,2,15,176,0,0,0,0,1
2020,2,16,177,0,0,0,0,0
2020,2,17,178,0,0,0,0,0
2020,2,18,179,1,1,1,1,1
2020,2,19,180,1,0,0,0,0
2020,2,20,181,0,0,0,0,0
2020,2,21,182,0,0,0,0,0
2020,2,22,183,0,0,0,0,0
2020,2,23,184,0,0,0,0,0
2020,2,24,185,0,1,0,0,1
2020,2,25,186,0,0,0,0,0
2020,2,26,187,1,1,1,1,1
2020,2,27,188,0,0,0,0,0
2020,2,28,189,0,0,0,0,0
2020,3,1,190,0,0,0,0,0
2020,3,2,191,0,0,0,0,0
2020,3,3,192,0,0,0,0,0
2020,3,4,193,0,0,0,0,0
2020,3,5,194,1,0,0,0,0
2020,3,6,195,1,1,1,1,1
2020,3,7,196,0,0,0,0,0
2020,3,8,197,0,1,0,0,0
2020,3,9,198,0,0,0,0,0
2020,3,10,199,1,1,1,1,1
2020,3,11,200,0,0,0,0,0
2020,3,12,201,0,0,0,0,0
2020,3,13,202,1,1,0,0,0
2020,3,14,203,0,0,0,0,0
2020,3,15,204,0,0,0,0,0
2020,3,16,205,0,1,0,1,1
2020,3,17,206,0,0,0,0,0
2020,3,18,207,0,1,0,1,0
2020,3,19,208,0,0,0,0,0
2020,3,20,209,0,0,0,0,0
2020,3,21,210,0,0,0,0,0
